class=Booth | name=Default | uid=6faea6194cbe48f797adf4b31a2e1426 | amount=1 | path=Save.Inventory.Booth
class=Potion | name=Treasure Hunter | uid=86e34977ec50452fbbc656da86e788c6 | amount=8 | path=Save.Inventory.Potion
class=Potion | name=Treasure Hunter | uid=ed15abb385604aee87f53d0a91390403 | amount=2001 | path=Save.Inventory.Potion
class=Potion | name=Treasure Hunter | uid=f58c70ba50574f05af1e468fa708792a | amount=1348 | path=Save.Inventory.Potion
class=Potion | name=Walkspeed | uid=4ebb93cd2aa4472180f686d202bd5356 | amount=2 | path=Save.Inventory.Potion
class=Potion | name=Walkspeed | uid=ac210d64ed4a4dab91110f89c06a687a | amount=25 | path=Save.Inventory.Potion
class=Seed | name=Coin | uid=d2904a8e97fd48ee8d8742403f545131 | amount=195 | path=Save.Inventory.Seed
class=Seed | name=Diamond | uid=93483caa74aa42fabab30614488aff34 | amount=7 | path=Save.Inventory.Seed
class=Seed | name=Gift | uid=bf12de79dddc4523a69212c1d657c2e6 | amount=13 | path=Save.Inventory.Seed
class=Seed | name=Potion | uid=6c5176032e67440d98ace5cccdd06350 | amount=120 | path=Save.Inventory.Seed
class=Ultimate | name=Ground Pound | uid=2ea8e46c06cb4dec8b108f6b6bf01887 | amount=1 | path=Save.Inventory.Ultimate
